database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	SwissLipid_identifier	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	5_NIST_A-1	6_NIST_A-2	11_PLASMA_H002_A-1	12_PLASMA_H002_A-2	13_PLASMA_H008_A-1	14_PLASMA_H008_A-2	15_PLASMA_H010_A-1	16_PLASMA_H010_A-2	17_PLASMA_H012_A-1	18_PLASMA_H012_A-2	21_PLASMA_H018_A-1	22_PLASMA_H018_A-2	23_PLASMA_H041_A-1	24_PLASMA_H041_A-2	25_PLASMA_H042_A-1	26_PLASMA_H042_A-2	27_PLASMA_H043_A-1	28_PLASMA_H043_A-2	31_PLASMA_H044_A-1	32_PLASMA_H044_A-2	33_PLASMA_H047_A-1	34_PLASMA_H047_A-2	39_PLASMA_H048_A-1	40_PLASMA_H048_A-2	41_PLASMA_H049_A-1	42_PLASMA_H049_A-2	43_PLASMA_H050_A-1	44_PLASMA_H050_A-2	45_PLASMA_H051_A-1	46_PLASMA_H051_A-2	49_PLASMA_H052_A-1	50_PLASMA_H052_A-2	51_PLASMA_H053_A-1	52_PLASMA_H053_A-2	53_PLASMA_H055_A-1	54_PLASMA_H055_A-2	55_PLASMA_H056_A-1	56_PLASMA_H056_A-2	60_PLASMA_H057_A-2	61_PLASMA_H058_A-1	62_PLASMA_H058_A-2	63_PLASMA_H059_A-1	64_PLASMA_H059_A-2	65_PLASMA_H060_A-1	66_PLASMA_H060_A-2	73_NIST_B-1	74_NIST_B-2	79_PLASMA_H002_B-1	82_PLASMA_H008_B-2	83_PLASMA_H010_B-1	84_PLASMA_H010_B-2	85_PLASMA_H012_B-1	86_PLASMA_H012_B-2	90_PLASMA_H018_B-2	91_PLASMA_H041_B-1	92_PLASMA_H041_B-2	93_PLASMA_H042_B-1	94_PLASMA_H042_B-2	95_PLASMA_H043_B-1	96_PLASMA_H043_B-2	99_PLASMA_H044_B-1	100_PLASMA_H044_B-2	101_PLASMA_H047_B-1	102_PLASMA_H047_B-2	107_PLASMA_H048_B-1	108_PLASMA_H048_B-2	109_PLASMA_H049_B-1	110_PLASMA_H049_B-2	111_PLASMA_H050_B-1	112_PLASMA_H050_B-2	113_PLASMA_H051_B-1	114_PLASMA_H051_B-2	117_PLASMA_H052_B-1	118_PLASMA_H052_B-2	119_PLASMA_H053_B-1	120_PLASMA_H053_B-2	121_PLASMA_H055_B-1	122_PLASMA_H055_B-2	123_PLASMA_H056_B-1	124_PLASMA_H056_B-2	127_PLASMA_H057_B-1	128_PLASMA_H057_B-2	129_PLASMA_H058_B-1	130_PLASMA_H058_B-2	131_PLASMA_H059_B-1	132_PLASMA_H059_B-2	133_PLASMA_H060_B-1	134_PLASMA_H060_B-2
				LPC 20:5	542.3241	184.0733|HG(PC,184)	[M+H]1+	1	2.05			SwissLipids	2020/04/02	MSI:2				SLM:000055333	216545.47727272726	118903.86870459269	12675.194992636305	313447	321357	536053	512531	179502	177501	64434	66785	129656	130657	139692	144494	102482	103284	269964	295511	193616	197530	161122	152317	169450	177579	234482	235177	201587	228872	121800	120760	186899	188980	112154	115142	111752	112088	79702	90978	127868	127019	354436	308701	301873	347881	346800	426086	476664	340904	346076	512508	177000	76043	76833	142093	138001	155096	126433	127201	289780	284507	186531	179109	158413	161084	180560	199706	247533	253928	212167	225144	116608	123675	197615	208044	118163	118694	124518	125050	89739	91090	141152	144280	396885	404422	333219	341338	340538	345510	495910	506237
				LPC 22:0	580.4337	184.0733|HG(PC,184)	[M+H]1+	1	4.41			SwissLipids	2020/04/02	MSI:2				SLM:000055335	5634.75	1658.0148235683582	176.7449740564975	6868	7188	4694	4677	5972	5502	4424	4639	6762	6762	6420	7432	3797	3395	5724	6502	6263	6679	4545	4539	5924	5875	3924	3749	6151	6991	5272	5519	9021	9370	2660	2819	4731	5024	3801	3809	5318	4960	6935	6506	6507	4732	4678	9596	10497	7597	7461	4647	5225	4349	4639	6261	6252	6639	3565	3723	5716	5852	5780	5790	4104	3866	5462	5880	3716	3752	5890	6435	5516	5198	8070	8285	3321	2867	5136	5339	3735	3993	4882	4946	6921	7389	6387	6911	4243	4155	9487	9323
				LPC 22:1	578.418	184.0733|HG(PC,184)	[M+H]1+	1	3.89			SwissLipids	2020/04/02	MSI:2				SLM:000055336	4450.113636363636	2341.733606922214	249.62964125491175	5023	5147	10948	9384	2857	3009	2069	2385	4607	4764	4704	4435	1801	2137	3429	3317	3976	4134	2762	3106	4329	4744	2524	2430	3656	4143	3525	3963	7193	7080	3452	2758	2856	2799	2047	2259	8789	8804	6482	3312	3276	3753	3888	8525	9369	5181	4890	10105	2440	1999	2599	5041	4885	4537	2148	2027	3233	3390	4030	3313	2546	2581	4391	4632	2704	2750	3916	4283	3460	3155	6913	7333	3207	3316	3071	2532	2138	2101	8637	9701	7403	7706	3253	3384	3205	3331	10068	10125
				LPC 22:5	570.3554	184.0733|HG(PC,184)	[M+H]1+	1	2.55			SwissLipids	2020/04/02	MSI:2				SLM:000055340	227806.60227272726	95964.1734732458	10229.815264485036	450422	438109	220312	243295	210939	217391	85566	88535	172051	180956	330793	347157	122667	125954	181768	198859	250775	274472	159574	158956	121332	133793	150129	156510	232449	261448	191917	194645	320817	327336	140519	136888	169402	168761	100035	113189	171742	160735	232571	337404	349016	282426	272986	302351	351720	526135	510740	222696	200143	107212	108838	192472	195396	364455	155920	173971	195260	198801	262227	255321	157958	157529	138858	158537	181476	171095	264222	267490	197778	199497	340933	340519	155801	151020	181732	202275	115719	121754	190392	196887	272323	274486	382273	408191	297478	289384	354918	368197
				LPC 22:6	568.3398	184.0733|HG(PC,184)	[M+H]1+	1	2.35			SwissLipids	2020/04/02	MSI:2				SLM:000055341	1031788.7613636364	416843.20131165267	44435.634563805135	867768	923838	1654038	1645220	837602	881311	505733	516111	1032056	1070597	1073154	1135539	770026	743033	900891	963143	1112075	1177188	889067	872028	863771	931877	1024836	1047557	1093139	1252883	857698	884693	2091587	2109712	767116	762912	576082	598970	532974	623338	260182	274886	1000549	1087085	1087915	1031075	1029798	1677641	1828779	1010559	976791	1714882	799312	610356	628015	1146492	1230049	1221983	939035	967137	922308	982702	1078575	1099389	892574	923710	972879	1071035	1138849	1221855	1230202	1220227	860536	914388	2202656	2311695	811602	824076	641945	667312	602402	599818	291749	314056	1195638	1223480	1178984	1219331	1073549	1086689	1927853	1983263
				LPC 24:0	608.465	184.0733|HG(PC,184)	[M+H]1+	1	5.13			SwissLipids	2020/04/02	MSI:2				SLM:000055342	9345.170454545454	2600.7612909397058	277.2420851491437	9912	10474	7737	7371	10259	10711	8456	8877	9239	10488	10570	9946	6712	6756	10445	11291	9743	10729	8060	8314	10163	10302	7450	6912	9656	12062	8949	10451	16154	15406	4928	5346	8280	8150	6357	6749	9049	9344	9235	10380	10146	8296	7942	16455	16596	10289	11052	5924	9163	8923	8522	8673	9152	11026	5992	7102	9478	9790	8727	7885	6540	7647	10332	10558	6577	6903	10855	9837	8034	8731	15226	16879	5207	5707	7371	7920	6135	6986	8172	8472	10210	9331	10113	11122	7968	7438	14331	15227
				LPC 26:0	636.4963	184.0733|HG(PC,184)	[M+H]1+	1	6.11			SwissLipids	2020/04/02	MSI:2				SLM:000055347	30052.602272727272	3448.244399356856	367.58408805605166	29510	30173	29805	27086	33769	30068	24363	27490	31403	31109	30216	31356	25384	28087	30143	31289	30716	37137	35089	34320	28758	29964	32836	30861	31810	32535	29618	33834	39164	37701	25938	24681	27502	27860	24095	28675	31521	30113	30509	29847	31664	31528	27839	37275	35814	24834	27737	26630	27802	25571	26250	29163	31096	33423	28851	30345	31026	29467	29317	27485	35024	29900	25014	28849	27243	27866	28612	26719	31378	29315	35953	38920	35092	30113	25456	26670	25654	25279	26891	27535	28058	30184	30361	33487	26855	30170	34762	33817
				LPC O-16:0	482.3605	104.107|(C5H13NO,104)	[M+H]1+	1	3.07			SwissLipids	2020/04/02	MSI:2				SLM:000055382	335517.79545454547	143105.8327353474	15255.133026921114	473681	455065	297887	271092	232236	235587	198472	192640	297054	314999	382357	425215	207930	189728	234482	254746	475515	489772	415603	436320	201301	222510	272129	255337	317433	351074	316117	360108	877671	882986	329158	330513	360549	351851	288195	307248	213628	215156	222762	272787	295487	308287	273977	368120	398085	489252	448474	283685	225633	214737	217868	306996	302622	410487	230383	224129	230780	233661	429184	437218	424895	403847	216948	236148	253498	270037	333790	364993	330157	329199	847289	899803	325084	325470	358695	364881	299276	300014	204813	209220	249987	246538	272057	298356	281802	277121	426281	417408
				LPC O-16:0	482.3605	184.0733|HG(PC,184)	[M+H]1+	1	3.07			SwissLipids	2020/04/02	MSI:2				SLM:000055382	32062.011363636364	13271.36869353984	1414.7326562410578	42648	44775	26357	29466	20010	24021	18356	18629	28883	29786	37412	35140	18722	19685	21345	23795	45632	45070	39475	40214	18902	20874	25170	25721	29294	34183	32977	33295	82006	83466	30711	33730	34648	30567	26415	30507	20935	18789	22816	26576	26313	28400	29626	36242	38364	42932	48386	25209	20168	22701	21401	29963	29967	39617	19746	23137	20157	23929	42492	39346	38562	40917	19748	23387	25088	23848	33442	32916	32199	32746	80783	81641	33006	32389	36267	35040	28207	28362	21760	20656	24574	23390	30663	28520	28415	29131	37975	38726
				LPC O-18:0	510.3918	104.107|(C5H13NO,104)	[M+H]1+	1	3.65			SwissLipids	2020/04/02	MSI:2				SLM:000055386	260866.30681818182	108152.43101899547	11529.087884425287	493411	483772	343523	344676	186032	193162	149359	145435	320809	307018	311678	327039	114850	102252	203188	216726	288643	298635	217341	225083	170713	174634	192933	185030	210952	228563	182570	183119	527101	489214	170263	218091	209403	221010	134288	138568	198333	202467	325442	344505	352866	368882	348840	351950	382556	503707	503578	325463	169011	156473	164502	318889	324121	333111	116658	115639	202810	200183	260400	261749	205200	179476	169608	188254	191432	190032	183273	182860	147350	155386	467388	518935	221039	219221	226443	229148	124850	136792	198779	207634	353035	360141	344736	367416	347410	350845	368896	379437
