database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	SwissLipid_identifier	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	5_NIST_A-1	6_NIST_A-2	11_PLASMA_H002_A-1	12_PLASMA_H002_A-2	13_PLASMA_H008_A-1	14_PLASMA_H008_A-2	15_PLASMA_H010_A-1	16_PLASMA_H010_A-2	17_PLASMA_H012_A-1	18_PLASMA_H012_A-2	21_PLASMA_H018_A-1	22_PLASMA_H018_A-2	23_PLASMA_H041_A-1	24_PLASMA_H041_A-2	25_PLASMA_H042_A-1	26_PLASMA_H042_A-2	27_PLASMA_H043_A-1	28_PLASMA_H043_A-2	31_PLASMA_H044_A-1	32_PLASMA_H044_A-2	33_PLASMA_H047_A-1	34_PLASMA_H047_A-2	39_PLASMA_H048_A-1	40_PLASMA_H048_A-2	41_PLASMA_H049_A-1	42_PLASMA_H049_A-2	43_PLASMA_H050_A-1	44_PLASMA_H050_A-2	45_PLASMA_H051_A-1	46_PLASMA_H051_A-2	49_PLASMA_H052_A-1	50_PLASMA_H052_A-2	51_PLASMA_H053_A-1	52_PLASMA_H053_A-2	53_PLASMA_H055_A-1	54_PLASMA_H055_A-2	55_PLASMA_H056_A-1	56_PLASMA_H056_A-2	60_PLASMA_H057_A-2	61_PLASMA_H058_A-1	62_PLASMA_H058_A-2	63_PLASMA_H059_A-1	64_PLASMA_H059_A-2	65_PLASMA_H060_A-1	66_PLASMA_H060_A-2	73_NIST_B-1	74_NIST_B-2	79_PLASMA_H002_B-1	82_PLASMA_H008_B-2	83_PLASMA_H010_B-1	84_PLASMA_H010_B-2	85_PLASMA_H012_B-1	86_PLASMA_H012_B-2	90_PLASMA_H018_B-2	91_PLASMA_H041_B-1	92_PLASMA_H041_B-2	93_PLASMA_H042_B-1	94_PLASMA_H042_B-2	95_PLASMA_H043_B-1	96_PLASMA_H043_B-2	99_PLASMA_H044_B-1	100_PLASMA_H044_B-2	101_PLASMA_H047_B-1	102_PLASMA_H047_B-2	107_PLASMA_H048_B-1	108_PLASMA_H048_B-2	109_PLASMA_H049_B-1	110_PLASMA_H049_B-2	111_PLASMA_H050_B-1	112_PLASMA_H050_B-2	113_PLASMA_H051_B-1	114_PLASMA_H051_B-2	117_PLASMA_H052_B-1	118_PLASMA_H052_B-2	119_PLASMA_H053_B-1	120_PLASMA_H053_B-2	121_PLASMA_H055_B-1	122_PLASMA_H055_B-2	123_PLASMA_H056_B-1	124_PLASMA_H056_B-2	127_PLASMA_H057_B-1	128_PLASMA_H057_B-2	129_PLASMA_H058_B-1	130_PLASMA_H058_B-2	131_PLASMA_H059_B-1	132_PLASMA_H059_B-2	133_PLASMA_H060_B-1	134_PLASMA_H060_B-2
				CE 16:1	640.6027	369.3516|-FA 16:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.44			SwissLipids	2020/04/02	MSI:2				SLM:000500345	60000.52272727273	25727.358872884524	2742.545670818425	110460	103851	32286	35076	99603	116889	50779	50585	51521	31666	36692	42786	41619	25028	36647	50585	68904	76404	50447	38951	62138	55981	41289	38525	55038	53924	64042	60640	66659	81631	47095	43106	31149	28820	45178	44275	60122	50309	16397	38392	46359	55552	63527	52483	64152	106913	126300	28020	107764	53790	48226	37389	29724	37981	55149	61520	105351	86478	80862	74300	50039	54702	84809	40011	48115	58293	90257	86639	122688	129134	77171	81896	69121	72627	20592	18130	47411	47995	82292	79372	25328	30279	70816	68852	59656	70987	68674	66831
				CE 16:2	638.5871	369.3516|-FA 16:2(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.25			SwissLipids	2020/04/02	MSI:2				SLM:000500344	2746.681818181818	979.750654948757	104.44177074247673	3543	3685	1801	1702	4057	4101	1823	2959	3479	2667	2308	1863	1546	1110	1817	3235	2247	2571	2220	2789	2053	3004	1467	1689	1980	2338	2963	3131	3157	3356	2019	2190	1572	1951	1547	1442	1941	2219	1262	2445	2179	2615	3349	2772	2997	4388	4048	1697	3357	2202	2178	3162	2235	2181	2056	2039	4963	4653	2826	3426	2799	2694	4482	2260	1932	2090	4084	3902	5345	5377	3456	3950	2770	3835	1358	1370	1728	1596	2895	2831	2681	1982	4118	3903	3679	3487	3214	3318
				CE 17:0	656.634	369.3516|-FA 17:0(+HO)-Cholesterol(35)	[M+NH4]1+	1	12			SwissLipids	2020/04/02	MSI:2				SLM:000500347	5194.556818181818	1874.2667768376987	199.7975097316592	6316	5189	7634	7318	5946	6734	6334	5886	8690	5146	7130	7990	2314	1392	2786	3312	3993	4094	4436	4410	4448	4021	3171	3856	2459	2565	2459	2168	3852	6016	3681	4553	4058	4297	2711	2490	4698	3090	2698	2806	3077	5938	6811	5314	7288	7429	7237	6872	5319	5473	5683	6386	5312	6648	4062	4655	6619	6677	6235	5513	5369	5916	5188	2648	5150	5747	5128	4983	4386	5159	5742	6198	7830	6632	1733	2249	3048	3429	5904	5777	8537	8692	6237	6823	8150	9984	8457	6330
				CE 17:1	654.6184	369.3516|-FA 17:1(+OH)-Cholesterol(35)	[M+NH4]1+	1	11.6			SwissLipids	2020/04/02	MSI:2					12390.806818181818	4777.931935779484	509.3292557032672	17666	16244	11216	11030	21919	18392	9898	11706	16513	11936	10390	10713	6240	4624	5386	7696	8477	10714	10115	10153	11588	10943	10661	9503	7249	6802	10817	9147	10733	16348	11482	11634	8465	8865	5490	5606	10294	8003	6078	6409	6845	16129	16186	14425	15773	20713	18565	8207	15842	9537	9358	15120	11948	10097	10740	8969	17751	19065	15157	12944	11188	12100	13936	7674	13878	12350	13979	13232	18979	21489	15921	15671	22423	26835	4218	4980	7528	6616	14742	15817	10543	12180	12770	11659	20012	22175	19855	17125
				CE 18:0	670.6497	369.3516|-FA 18:0(+HO)-Cholesterol(35)	[M+NH4]1+	1	12.1			SwissLipids	2020/04/02	MSI:2				SLM:000500352	30003.397727272728	11773.398305824066	1255.0484763708105	31558	29355	34948	37817	46055	41906	40410	47770	40061	27609	42669	48237	26211	13882	9441	14136	22965	30249	34253	30711	22218	18194	18677	21076	13719	15309	15790	15172	36116	48903	16895	16701	22262	21883	19886	21277	16849	13028	10016	9968	12165	17727	21552	25988	32552	35917	37645	31244	34902	36743	40297	26485	21745	47452	45124	52454	33334	34345	41747	39743	40772	47472	35047	12155	32979	36754	35327	36169	36082	42847	54493	63745	35708	27518	11343	15425	19305	25786	29961	32379	27506	31029	28089	30292	30489	33509	37746	37029
				CE 18:1	668.634	369.3516|-FA 18:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.88			SwissLipids	2020/04/02	MSI:2				SLM:000500351	2075526.2386363635	590013.4495768212	62895.64505461155	2147865	2290440	2204874	2335140	2857240	3198397	2183734	2118189	2365737	1908310	2696734	2678260	1798650	1025437	1092930	1685427	2122380	2662639	1751245	1488053	1960422	1687475	1976298	2264312	1780074	1738822	1908825	1643265	2802519	3603968	1285217	1310977	1741402	1456273	1579515	1608230	1638759	1320861	931609	636800	1126047	1777060	1676482	2667872	2849796	2611234	2592112	2097695	2165089	2075695	1912617	2150771	1880779	2660257	2557225	2733364	2476038	2225403	2612338	2503369	1808217	1859482	2315208	1156354	2323754	2486098	2808890	2568626	2410735	2732745	3201961	3275307	2347041	2185942	828164	1242112	1736195	1639787	1906302	1905703	1714477	1826260	1707000	1660050	1994908	2310501	2682731	3173212
				CE 18:2	666.6184	369.3516|-FA 18:2(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.65			SwissLipids	2020/04/02	MSI:2				SLM:000500350	16690948.761363637	4510798.588006675	480852.7451494496	15115087	16141222	13194126	14091429	23815798	22682010	17601458	19079898	25621150	19710076	19615234	22358644	14365869	8584216	10178370	15485586	16402531	17620474	16262480	17794334	20196882	20267288	13983920	16430111	14164934	16263801	13396762	12520364	21795510	24875064	9800143	9798469	14682686	13059228	13510448	12456269	13134490	10884329	6442110	5221822	8141102	13677742	15414638	19099050	23682472	17619620	16859686	12200881	21882238	15721168	19032410	19586268	16716528	21102804	18293616	17765854	22238704	25536504	20198606	21183476	19169582	18814094	22772702	12386790	18249002	20245942	20589550	19675038	18309000	20692110	22875612	23391722	17743324	18210242	8828509	9585154	13566384	14427423	18133622	16705488	12498069	13760325	10390268	12484710	13884011	16098751	20213444	20544634
				CE 18:3	664.6027	369.3516|-FA 18:3(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.43			SwissLipids	2020/04/02	MSI:2				SLM:000500349	610162.6818181818	203601.02685769243	21703.94238839895	791862	811039	317091	322813	1001990	1176565	400308	494739	914962	761335	472256	524521	367885	285955	475757	627097	470496	547609	731416	686144	685017	788148	376536	383428	508385	467222	543061	484264	493278	536840	279450	289298	437383	458038	456286	466905	658315	554784	306837	388902	366103	655477	804197	728621	894047	813639	945454	292649	917155	390654	536630	816815	695563	504104	626713	612026	906992	870239	663119	637351	828715	735003	726589	402333	532838	538414	859662	760614	801657	964069	581645	688853	542309	533803	299988	398203	435271	457898	834543	909866	496664	559014	519595	518226	753740	852920	891405	848714
				CE 20:1	696.6653	369.3516|-FA 20:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	12.1			SwissLipids	2020/04/02	MSI:2				SLM:000500358	7026.840909090909	2940.478578947607	313.4560697299786	6893	6304	8639	9072	7680	9184	7044	7870	10789	7651	9546	10171	5691	2686	1844	2845	6239	7277	8305	7452	6019	5620	4468	5400	3714	4231	4600	4030	11732	16372	5297	4862	4532	4567	4825	4541	4306	2912	3444	1348	2148	3649	4231	7640	10209	7928	8390	8449	6440	6591	7559	9443	6978	9214	8778	7462	7649	7247	8975	8993	9535	8250	9151	3007	7560	7428	9962	8780	10370	9629	13983	16051	8972	8453	2222	2765	4461	5064	5006	6307	8816	8931	5377	5135	5981	6319	11265	11607
				CE 20:2	694.6497	369.3516|-FA 20:2(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.9			SwissLipids	2020/04/02	MSI:2				SLM:000500357	28137.704545454544	8819.119732390074	940.1213222857316	33828	35106	19725	23676	34387	32950	26328	26986	35958	33502	27326	32299	22462	14083	10964	20412	31946	37849	34890	33446	31855	28441	23451	25606	26035	22910	25841	23656	47775	58551	21824	23419	25133	25474	19169	17828	18612	15809	12450	8913	12798	20316	21607	33990	35519	34717	43701	21579	32172	28729	26314	32271	30318	27929	31153	31136	29998	26315	31088	32688	33181	28829	34767	18817	29685	27354	36079	38532	34015	32326	48640	53502	32781	35588	13525	19636	18848	19637	22184	23323	21965	26320	23165	23885	25432	25713	37076	36100
				CE 20:3	692.634	369.3516|-FA 20:3(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.68			SwissLipids	2020/04/02	MSI:2				SLM:000500356	606091.9431818182	234994.75837389147	25050.52541256362	780896	793586	324309	332243	1287575	1409631	417894	518693	481707	407382	361182	431068	585247	374755	262608	384557	550116	623261	834805	683767	608970	610267	619219	607012	294246	348432	506961	490560	480100	555380	483139	456348	571948	575908	449348	403511	601871	433911	223111	341244	426306	696932	835943	869334	995697	910653	907533	310860	1257838	384763	407438	401127	372453	353216	865305	826584	649892	761568	768695	725530	865565	781444	681698	411090	717615	707468	469977	416977	780539	706899	533334	597820	759889	639930	288034	369811	455995	493237	805519	752350	427326	489117	628848	621959	888784	918118	1000779	891534
				CE 22:1	724.6966	369.3516|-FA 22:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	12.3			SwissLipids	2020/04/02	MSI:2				SLM:000500366	3131.9772727272725	1252.1817004619525	133.48301777293733	3582	3015	6877	7065	3449	3218	3299	3678	4798	3976	3888	4189	2834	1233	1146	1726	2430	3180	3263	2936	2724	2534	1786	1810	1896	1906	1491	1506	2510	3516	2220	2201	2228	2114	2532	1944	3207	2234	1239	684	778	1275	1551	3308	3785	3510	4267	6199	2675	3114	3211	3512	3612	3641	4043	3608	3387	3528	3783	4001	3862	3469	4171	1481	3661	3192	3981	3984	3669	3551	4464	4543	4052	2727	1113	1228	2057	2916	4895	4885	4298	4405	2661	2397	2714	2781	4732	4873
				CE 22:4	718.6497	369.3516|-FA 22:4(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.72			SwissLipids	2020/04/02	MSI:2				SLM:000500363	51301.420454545456	23296.63803662863	2483.4299590432925	53694	52477	14660	13485	78835	74682	40660	42892	63655	63187	36166	39284	28669	19421	21778	29154	41903	51642	98258	79597	74168	64623	40960	42727	35851	36495	60491	52005	88023	119662	56208	49286	35124	37278	38049	29360	41011	30414	17407	15723	19011	36841	40608	71077	82705	55574	64994	11667	64718	40190	40306	64655	58799	36826	43942	46639	52524	44879	52899	48983	76885	75785	74525	39513	51634	44514	56572	49206	66578	61877	114473	111661	81808	90175	17817	21577	36873	42912	59894	57793	30101	30965	26524	28519	50303	61525	93457	74258
				CE 22:5	716.634	369.3516|-FA 22:5(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.59			SwissLipids	2020/04/02	MSI:2				SLM:000500362	199395.20454545456	69411.82525212289	7399.325433651525	207394	206383	134025	122011	323599	296247	186419	197750	251138	214635	178993	187346	142175	98662	91188	116787	182801	231195	194632	203450	223274	212586	153387	179040	192986	187910	187009	157153	384405	393654	181392	188140	158723	152288	171713	183801	145853	137358	72171	83133	102469	155518	188349	262049	311394	229599	206597	103132	289555	184464	154457	261277	221454	185419	213357	210037	207181	196670	244677	201525	207324	209803	212346	116320	196054	211018	289704	247724	236532	250718	406038	423384	214686	252255	92029	90304	174697	182691	203301	214357	115098	129264	144768	153973	196059	179193	292423	262729
				CE 22:6	714.6184	369.3516|-FA 22:6(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.4			SwissLipids	2020/04/02	MSI:2				SLM:000500361	3928528.2386363638	2145764.799832714	228739.2962274938	1798656	1597651	3931651	3838876	5385339	5412667	3624178	3834597	6855860	4978767	2933771	3087906	2402291	1881828	2904425	3801898	3020296	3161194	4209391	3880634	4963732	5341042	3796480	3743430	3641415	3338557	3508959	2875709	8697876	10254146	4462633	4807956	1515705	1528424	2370495	2402262	793853	758759	1636942	1191301	1251071	3221218	3708678	7038572	6963026	1790318	2117679	3282972	4819352	3341115	3235312	5182307	4394406	2863708	3826176	3752099	4912375	5616118	3634200	2940968	4349467	4130406	6781489	2912975	4450778	4836027	5078702	4650134	4196362	4424921	10369820	11293434	5822095	5585509	951364	1241450	2876658	2770011	1035205	1133094	2826083	2859474	1753260	1940128	3665177	4605563	8580877	8526800
				CE 24:1	752.7279	369.3516|-FA 24:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	12.5			SwissLipids	2020/04/02	MSI:2				SLM:000500372	7143.829545454545	1997.1122383207123	212.89287992626623	8613	7753	8541	8645	8670	9084	9139	9171	9998	8858	9604	9990	7866	3275	3413	5096	6851	8415	8568	7800	6786	6718	5526	5438	4949	5156	4356	4293	5484	7004	6709	6632	6322	6689	7034	6444	5849	4039	2614	1467	2284	3064	4302	6102	7071	7659	8132	7586	8256	8593	8305	8517	8031	9317	8299	8449	8172	8516	9074	9247	8267	8910	8422	3335	7713	7801	9441	9579	9074	8810	9313	9438	8631	6436	2721	4064	6698	7115	7255	7882	8675	7764	6983	6992	6623	6725	8517	7638
				CE 24:4	746.681	369.3516|-FA 24:4(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.97			SwissLipids	2020/04/02	MSI:2				SLM:000500371	11516.602272727272	5291.503083810099	564.0761240331174	13610	13393	8790	7369	13485	11517	9512	10452	13113	11631	10384	11014	8558	5630	5587	8333	12666	14524	18424	17878	14249	14328	8690	9536	13261	12244	11823	12306	32884	35470	10051	9280	9229	10578	9784	9340	9861	7887	3495	3031	4216	6109	8095	14072	16459	13883	13497	6532	9692	9353	9264	13346	12729	9776	9919	9731	8538	9064	10907	10164	15320	12748	12581	7051	10014	10038	12366	13546	12902	13535	28595	28596	11917	11503	5806	8043	9892	9940	9483	11336	8320	8546	8961	7977	8361	8639	15219	13683
				CE 24:5	744.6653	369.3516|-FA 24:5(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.77			SwissLipids	2020/04/02	MSI:2				SLM:000500370	9444.272727272728	4314.714238422708	459.9500832507367	9873	10084	7254	6723	10003	9388	7142	8153	7769	8540	6583	6732	6161	5117	7120	9956	7169	9411	14879	16196	15823	17412	7343	8943	10270	10099	11349	10649	24570	25499	8230	6778	7186	6709	6013	5879	6075	5643	4600	2847	5011	8461	8554	19264	19089	12663	9230	5115	7075	6141	6576	9094	8597	6092	7697	8422	7712	9440	6795	5878	12354	9473	11753	7653	8043	7312	9611	9313	9996	9223	18666	20561	11712	10808	4394	7590	7039	6642	6970	6233	8244	8738	7177	7279	9442	8150	17265	16379
				CE 24:6	742.6497	369.3516|-FA 24:6(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.59			SwissLipids	2020/04/02	MSI:2				SLM:000500369	4582.670454545455	2119.0712925772646	225.89375879304106	7813	5865	2988	3059	10199	7269	2845	2612	5195	5103	1965	2488	4345	3211	4040	5901	3332	2807	7529	7802	4760	4951	2582	2734	3131	3439	3072	2701	4162	6886	3521	3049	3438	3646	2003	1575	5889	5042	1021	4161	4165	3751	4680	6561	7687	6548	6256	2073	7122	2568	2423	5068	4806	2179	5773	6770	7292	9062	2440	2768	6515	7488	5030	3943	3128	2927	4714	4316	2845	2766	5585	4589	4493	3651	2135	2034	2456	1991	8528	8290	2806	3449	6471	5672	3882	6630	9882	8936
				Cer d18:0/22:0	624.6289	284.2948|LCB 18:0;2(-HO)	[M+H]1+	1	10.36			SwissLipids	2020/04/02	MSI:2				SLM:000392085	11744.068181818182	5212.12526378758	555.6144199873435	13351	16101	11896	11524	13817	13333	5879	6147	6138	7579	9130	8022	11926	15158	11977	15847	19065	17321	9207	8859	17067	15479	11830	11297	19873	26261	13129	14098	30884	33643	6308	6294	9723	8896	10507	11300	11738	10421	11623	15127	14409	15423	12281	21723	21089	11686	11026	9816	10363	5063	6508	6746	9080	7622	11697	13640	8667	7422	9002	8673	7113	6304	10852	12288	10742	8014	14729	10340	6506	7269	16070	18421	5879	5964	6905	8380	15232	7425	7763	9466	8978	8171	9121	10566	8464	10188	17382	15235
				Cer d18:0/24:1	650.6446	284.2948|LCB 18:0;2(-HO)	[M+H]1+	1	10.37			SwissLipids	2020/04/02	MSI:2				SLM:000392093	11018.295454545454	5260.0976000715	560.7282882178355	11233	11032	12246	12398	11238	9008	5210	5083	6798	6953	7474	6763	11532	12881	11191	12367	20752	16093	9233	8448	14381	16018	11025	11847	16780	21424	13289	10136	35585	36831	8764	8234	8474	8224	10751	12739	12194	10082	11111	12195	12832	13340	10562	14951	19195	11045	10173	10822	7505	4259	4506	7668	6359	6591	11287	11039	6407	6153	9106	8922	5955	5654	10581	12300	10862	9199	12097	11756	6757	6288	18297	18501	8071	8939	6786	10055	13503	12782	10079	9779	6082	7155	7444	8132	8063	7707	13821	12226
				Cer d18:1/16:0	520.5088	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	8.05			SwissLipids	2020/04/02	MSI:2				SLM:000392131	39433.84090909091	13590.922650068549	1448.797222464153	46459	40357	35559	35170	39581	39204	33371	38181	37699	40132	40272	41246	34354	33309	35355	34183	47878	44070	45823	45836	35024	35336	43888	46695	35313	39354	39146	42480	104100	103713	26762	26509	28212	28211	29343	31754	31213	32629	37038	37382	33449	32834	33013	49055	49253	39219	42805	30728	36938	35214	37386	37424	40367	40893	38534	37118	32146	32796	41527	44000	38004	40155	35135	39595	43033	40465	31494	35894	36236	41019	82756	89344	33319	32174	27555	27432	28134	33007	26592	29631	34645	31486	33493	35956	30572	29123	50018	47071
				Cer d18:1/16:0	538.5194	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	8.05			SwissLipids	2020/04/02	MSI:2				SLM:000392131	26427.727272727272	8355.742446534052	890.7251376420204	30752	33230	25911	21767	25372	30594	23839	23364	25572	28081	28092	29418	22695	25252	23256	23248	29741	34360	26721	33403	25792	26280	31776	30353	24328	26047	27656	25970	65619	58490	16318	19190	18333	17376	22404	24288	21985	20730	24239	23358	24383	20387	22785	30489	39022	28992	28914	19896	22754	22788	22720	25748	25354	24099	25563	24569	20280	23058	28763	26694	23806	24307	23957	26408	31235	32383	21845	24392	26334	24786	55664	54624	22799	22133	19032	18801	22336	20929	18012	18491	22267	21682	17873	21478	20067	21264	30799	35478
				Cer d18:1/18:0	566.5507	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	9.35			SwissLipids	2020/04/02	MSI:2				SLM:000392135	8505.306818181818	2814.6855619813987	300.04648906511403	10061	10244	11278	11389	9898	9095	6895	8309	7081	7987	6842	8102	11199	11400	6463	7532	9711	10245	7832	8991	9170	8464	12354	12494	6995	6971	6801	7706	17630	18205	6221	6070	5795	5960	6584	6293	7235	6360	5286	7154	8373	6845	6697	8379	8836	10658	10881	10860	10338	7815	8305	6904	6559	6992	12594	13234	6124	6233	8066	8212	6703	5450	9678	8884	12220	12097	6556	6853	6244	7583	18034	16700	7731	8068	5114	6108	5628	6576	7042	6814	5967	5352	7119	6995	6081	6164	8874	8625
				Cer d18:1/20:0	594.582	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	10.13			SwissLipids	2020/04/02	MSI:2				SLM:000392142	18319.43181818182	5720.567582553515	609.8145532805461	20689	19943	19489	21032	24867	20251	14014	17489	14193	16583	16438	19192	20088	20454	12468	19379	25451	28486	13783	14719	20761	14870	24433	25107	24985	21392	23716	24851	34925	39323	12211	11760	14686	12919	11762	13407	22019	21455	12822	21821	26418	19367	18512	37141	28249	16394	17677	16385	24032	14258	14818	16048	13110	18668	19866	19396	11866	10615	17482	15678	11474	10859	15993	19493	22052	19527	16334	14799	17424	16803	21925	26033	12602	12017	11982	15649	14802	10740	16184	16116	11997	11753	18815	18437	12503	14855	22313	14416
				Cer d18:1/22:0	622.6133	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	10.3			SwissLipids	2020/04/02	MSI:2				SLM:000392149	197633.86363636365	67925.30235760454	7240.861560656361	228538	248174	245283	225151	201053	226672	143134	167851	144580	135488	182950	159000	151222	185810	173019	220278	320696	317680	206744	170128	228795	157642	297121	307192	269615	286100	307919	290241	344069	367150	102012	120564	178826	151790	143271	121938	210865	197271	189820	251526	326343	280024	255012	324368	384926	201215	215457	188729	174132	137085	144288	141484	129605	136623	171732	166910	112772	127681	146622	140170	110577	111720	141298	160174	275966	213229	148159	141826	143165	142446	220052	234489	113238	117469	125674	160983	159077	124544	182357	173640	139046	145224	220014	220240	194786	201295	314819	273917
				Cer d18:1/24:0	632.634	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	10.49			SwissLipids	2020/04/02	MSI:2				SLM:000392156	722054.2159090909	312507.7568431858	33313.43881282607	639142	714375	895531	746977	734969	698316	427361	415466	419077	427072	634872	585326	539743	648287	700565	996257	1236409	1110092	526614	531822	849819	1042774	903489	1076416	1059366	1393829	1050718	1010803	1608443	1685488	358989	411779	619954	637557	362394	477149	748964	796694	1018162	1430768	1531606	1330200	1008908	1178576	1264842	655324	632952	645125	507339	448905	451466	482716	439715	588841	580809	546401	374504	483610	578931	512101	302424	383814	501955	575463	886860	758234	595793	575861	415547	426247	681895	747616	352976	368751	528735	783797	488143	385137	651849	590263	530314	520542	756670	747923	754853	703586	1135923	974901
				Cer d18:1/24:0	650.6446	252.2686|LCB 18:1;2(-CH3O2)	[M+H]1+	1	10.49			SwissLipids	2020/04/02	MSI:2				SLM:000392156	62217.03409090909	23311.46647825144	2485.010676231503	56034	71033	78204	71498	77080	62974	46486	35297	42766	35494	58034	58191	55549	64666	64257	82962	114436	90929	53887	49848	88926	54568	100537	89025	96424	106479	82286	88574	118175	136207	28431	35178	48935	70372	35286	35571	74310	63535	74161	89513	87238	96421	88546	108378	108239	63226	55561	60654	45399	45113	42138	39142	40140	53173	50613	43561	36181	35431	41738	47851	29058	29597	43774	43343	75161	65683	58902	58861	41901	45036	57623	75370	32056	29056	47703	63288	43630	34859	65199	52442	40603	59437	63559	66282	58805	62610	85085	71315
				Cer d18:1/24:0	650.6446	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	10.49			SwissLipids	2020/04/02	MSI:2				SLM:000392156	877191.2613636364	337582.16656068264	35986.37986980827	946409	995071	981854	904048	836781	838163	528305	532932	566626	497306	758490	762946	774929	923294	986562	1104778	1564479	1413563	667856	706889	1201942	691659	1347739	1431844	1321035	1624482	1322830	1244380	1738203	1723257	436315	405092	877991	876429	515330	565470	968893	954826	965901	1486158	1255699	1305687	1287601	1474513	1687320	976841	845917	854973	706077	571705	493284	587283	565657	705120	727592	711994	565284	571427	736430	651837	394591	365370	636991	611334	1192029	886327	827558	766134	526952	643224	903126	1082753	386658	448858	717318	866060	584077	487132	722271	747207	698012	655536	896908	910356	853118	853553	1091175	1164905
				Cer d18:1/24:0	650.6446	282.2791|LCB 18:1;2(-HO)	[M+H]1+	1	10.49			SwissLipids	2020/04/02	MSI:2				SLM:000392156	95858.30681818182	38513.58948172514	4105.562433464851	86493	113510	110352	133850	97640	90195	57129	54077	65025	56904	95972	84680	86793	88104	103357	132369	171692	164085	66641	71247	126529	69545	133009	147900	140155	156033	121215	140312	210565	223764	47710	40430	99080	73072	52180	57931	114407	112828	109302	133004	154754	165188	135656	161311	165491	99364	90191	93754	68376	62332	57590	55061	62557	78771	76639	77435	54385	57177	70139	75842	43606	50655	68373	79085	113316	107485	93287	92032	58753	54413	93135	117090	46092	43534	76576	98892	61146	50165	86591	87684	65807	77316	102062	102491	104549	104859	126214	129224
				Cer d18:1/24:0	650.6446	632.634|-(H2O,18)	[M+H]1+	1	10.49			SwissLipids	2020/04/02	MSI:2				SLM:000392156	424343.70454545453	164587.91376927771	17545.130559542722	435428	458987	600736	521423	392420	396971	278964	277760	295453	256273	345704	404174	356719	428065	464341	569237	716699	651910	388093	335868	472538	333060	615895	706509	652402	665742	589756	597268	796830	938892	220916	207308	363680	339589	252080	238895	444033	497163	494023	522643	701821	771459	602873	694283	893021	412180	411982	396354	327825	287795	282369	273525	244956	347066	348720	388937	226904	258979	270997	344445	196192	186773	304473	304027	501813	420068	433690	379992	301986	269638	474287	456948	230158	201592	303312	409942	318684	232023	372819	359983	324707	350662	450393	521147	453001	391889	566980	614129
				Cer d18:1/24:1	648.6289	264.2686|LCB 18:1;2(-H3O2)	[M+H]1+	1	10.32			SwissLipids	2020/04/02	MSI:2				SLM:000392157	295399.3522727273	121759.5054101529	12979.60688827471	259348	297471	392148	367139	261557	276164	186437	173271	226262	234572	247809	254682	239289	297473	248235	262192	581303	489036	258976	276006	286863	257011	465730	440085	377029	451169	388153	396380	794530	770084	234381	222416	215508	273669	225342	234759	343013	346791	266995	315107	326943	382228	409074	627280	554159	281028	243984	292478	212531	176766	172268	179674	233633	240070	258832	235526	146997	144590	213082	247505	188780	144281	196176	183685	392105	299127	225249	215006	208654	232245	332244	426208	230597	209480	185965	238791	298667	232192	277078	339082	181480	225503	259831	290768	228586	269377	419117	351836
